Orthogroup,FlybaseProteinID,Lneg_protein
OG0000206,"FBpp0305315, FBpp0086997","Lneg_g04878, Lneg_g05369, Lneg_g05370, Lneg_g05371, Lneg_g08750, Lneg_g05372, Lneg_g00093, Lneg_g08749, Lneg_g05368, Lneg_g05366, Lneg_g16687, Lneg_g16683, Lneg_g16679, Lneg_g16680, Lneg_g16686, Lneg_g05365, Lneg_g16685, Lneg_g16681, Lneg_g16684, Lneg_g05367, Lneg_g16682, Lneg_g03553, Lneg_g16377, Lneg_g03173, Lneg_g13645, Lneg_g03556, Lneg_g03554, Lneg_g03555, Lneg_g03171, Lneg_g13646, Lneg_g16945, Lneg_g03557, Lneg_g03177, Lneg_g03176, Lneg_g03172, Lneg_g03174, Lneg_g05863"
OG0000330,"FBpp0081666, FBpp0081668, FBpp0081670, FBpp0081671, FBpp0081667, FBpp0081669, FBpp0081664, FBpp0311386, FBpp0081665",Lneg_g11387
OG0000370,"FBpp0309397, FBpp0085692, FBpp0309396, FBpp0085691, FBpp0309398",Lneg_g01589
OG0000639,"FBpp0292611, FBpp0292608, FBpp0292607, FBpp0087891, FBpp0292610, FBpp0292618, FBpp0292616, FBpp0292613, FBpp0111968, FBpp0292617, FBpp0292606",Lipin_Lneg_g00328
OG0000695,"FBpp0072370, FBpp0305420, FBpp0072366, FBpp0072369, FBpp0072368, FBpp0072367, FBpp0072372, FBpp0072373, FBpp0072371",dPDK1_Lneg_g08514
OG0000902,"FBpp0085264, FBpp0290832, FBpp0290831, FBpp0304747",Lneg_g00393
OG0001031,"FBpp0087127, FBpp0099971, FBpp0070122, FBpp0070123, FBpp0070121, FBpp0070120, FBpp0070119, FBpp0070118, FBpp0070124, FBpp0311474",Lneg_g12294
OG0001158,"FBpp0073368, FBpp0310182, FBpp0304153, FBpp0292297, FBpp0292296, FBpp0301991",Germ-cell_expressed_Lneg_g08546
OG0001266,"FBpp0070550, FBpp0305932",DAR2_Lneg_g06021
OG0001267,"FBpp0303635, FBpp0303632, FBpp0303633, FBpp0303634","Dp60_Lneg_g16041, Lneg_g13564"
OG0001312,"FBpp0085804, FBpp0085807, FBpp0311868, FBpp0088908","Lneg_g05289, Lneg_g05290, Lneg_g02530, Lneg_g01476"
OG0001492,"FBpp0077679, FBpp0305189, FBpp0077680, FBpp0077678",Lneg_g03548
OG0001512,"FBpp0081483, FBpp0307731",Lneg_g11803
OG0001546,"FBpp0292907, FBpp0305604, FBpp0079677",CHICO_Lneg_g09027
OG0001714,"FBpp0312334, FBpp0089343, FBpp0089344, FBpp0293589, FBpp0308010","Lneg_g04945, dFOXO_Lneg_g10015"
OG0001733,"FBpp0076057, FBpp0076102",Insulin-like_Lneg_g07295
OG0001735,"FBpp0305462, FBpp0076820","Kinase-S6K_Lneg_g04663, Kinase-S6K_Lneg_g01799"
OG0001913,"FBpp0085164, FBpp0085163, FBpp0305520, FBpp0085160, FBpp0085161",Lneg_g07402
OG0001947,"FBpp0083519, FBpp0288670, FBpp0288671, FBpp0288669",dINR_Lneg_g04591
OG0001982,"FBpp0311819, FBpp0305180",Lneg_g07000
OG0002039,"FBpp0086293, FBpp0086289, FBpp0086290, FBpp0309065, FBpp0086292, FBpp0086291",Lneg_g03101
OG0002051,"FBpp0099975, FBpp0099974, FBpp0293227, FBpp0308836, FBpp0297239",Lneg_g00541
OG0002190,"FBpp0308988, FBpp0086669","dALS_Lneg_g16962, Lneg_g16960"
OG0002245,"FBpp0310390, FBpp0302979, FBpp0077607","Lneg_g14479, Lneg_g14480"
OG0002293,"FBpp0072600, FBpp0072601, FBpp0072602, FBpp0072603, FBpp0301846",Lneg_g01057
OG0002301,"FBpp0082989, FBpp0082988, FBpp0082987, FBpp0082990",Lneg_g15677
OG0002388,"FBpp0302953, FBpp0302952, FBpp0112423, FBpp0311493, FBpp0112426, FBpp0112425",Erk1-2_Lneg_g10146
OG0002403,"FBpp0078343, FBpp0078342",dRheb_Lneg_g03432
OG0002452,"FBpp0309791, FBpp0071423, FBpp0304573, FBpp0071424, FBpp0423162",Lneg_g13281
OG0002458,"FBpp0087921, FBpp0087922, FBpp0087923, FBpp0087924",Lneg_g16118
OG0002569,"FBpp0305746, FBpp0073106, FBpp0073104, FBpp0073105",Lneg_g08463
OG0002695,"FBpp0311050, FBpp0082681, FBpp0310841, FBpp0082682, FBpp0082680",PKB_Lneg_g14913
OG0002726,"FBpp0070208, FBpp0070209, FBpp0089374",AMPK_Lneg_g10231
OG0002808,"FBpp0112403, FBpp0112402, FBpp0112404, FBpp0306959",Lneg_g07253
OG0003126,"FBpp0083434, FBpp0303082, FBpp0306059",Lneg_g03520
OG0003252,"FBpp0309189, FBpp0086117",Lneg_g08312
OG0003360,"FBpp0075311, FBpp0089339",Lneg_g08674
OG0003383,"FBpp0289843, FBpp0083457",Lneg_g05222
OG0003822,"FBpp0308305, FBpp0308306",Lneg_g08733
OG0003843,"FBpp0310228, FBpp0074458, FBpp0310227",Lneg_g02301
OG0003882,"FBpp0290462, FBpp0078586, FBpp0307564",Lneg_g05086
OG0004058,"FBpp0075677, FBpp0289788",Lneg_g07785
OG0004081,"FBpp0082240, FBpp0292357",Lneg_g16122
OG0004264,"FBpp0311239, FBpp0071131","Lneg_g13159, Lneg_g03989"
OG0004408,"FBpp0074644, FBpp0074642, FBpp0306009, FBpp0074643",Lneg_g02494
OG0004456,"FBpp0306705, FBpp0083348, FBpp0083349",Dp110_Lneg_g10965
OG0004615,"FBpp0074121, FBpp0302657",Lneg_g08960
OG0004821,"FBpp0071095, FBpp0311869",Lneg_g07169
OG0004930,"FBpp0070117, FBpp0300874, FBpp0310165",Lneg_g07009
OG0005229,"FBpp0310110, FBpp0310109, FBpp0072302",Lneg_g07680
OG0005234,"FBpp0304936, FBpp0074588",Lneg_g09087
OG0005339,"FBpp0079406, FBpp0304847",Lneg_g03637
OG0005670,"FBpp0312007, FBpp0073903",Lneg_g04689
OG0005883,"FBpp0071248, FBpp0309113",MEK1-2_Lneg_g11995
OG0005908,"FBpp0080003, FBpp0307598",TOR_Lneg_g09538
OG0006060,"FBpp0071088, FBpp0071087",Lneg_g04012
OG0006749,"FBpp0311456, FBpp0077213",Thor_Lneg_g16508
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
