Gene Name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,,,,,,,,,,,,,,,,,,,
Lneg_g15230,67.98853,1.434723,0.403679,12.74579,0.000357,0.035266,,,,,,,,,,,,,,,,,,,
Lneg_g10677,185.5867,1.423987,0.364179,15.14734,9.94E-05,0.021992,,,,,,,,,,,,,,,,,,,
Lneg_g12469,94.60145,1.360333,0.337676,16.57019,4.69E-05,0.014922,,,,,,,,,,,,,,,,,,,
Lneg_g07498,208.4563,1.206302,0.346318,11.63866,0.000646,0.047591,,,,,,,,,,,,,,,,,,,
Lneg_g12698,3659.543,1.08439,0.263265,15.63896,7.67E-05,0.019631,,,,,,,,,,,,,,,,,,,
Lneg_g04119,2349.226,1.001662,0.28982,11.87701,0.000568,0.045128,,,,,,,,,,,,,,,,,,,
Lneg_g05204,396.9152,0.967879,0.280728,11.77553,0.0006,0.046719,,,,,,,,,,,,,,,,,,,
Lneg_g04443,666.863,0.96079,0.286132,11.40236,0.000734,0.048959,,,,,,,,,,,,,,,,,,,
Lneg_g01956,303.0945,0.938031,0.257205,13.43481,0.000247,0.030181,,,,,,,,,,,,,,,,,,,
Lneg_g13529,1934.003,0.892834,0.263514,11.39812,0.000735,0.048959,,,,,,,,,,,,,,,,,,,
Lneg_g12472,9386.466,0.891461,0.229852,14.98852,0.000108,0.022882,,,,,,,,,,,,,,,,,,,
Lneg_g10047,661.8184,0.888332,0.253596,12.33742,0.000444,0.040848,,,,,,,,,,,,,,,,,,,
Lneg_g04598,489.3128,0.88465,0.264893,11.36602,0.000748,0.048959,,,,,,,,,,,,,,,,,,,
Lneg_g06193,1093.529,0.854652,0.232877,12.98492,0.000314,0.033059,,,,,,,,,,,,,,,,,,,
Lneg_g04836,207.6268,0.854549,0.245327,12.09114,0.000507,0.042869,,,,,,,,,,,,,,,,,,,
Lneg_g05171,4690.409,0.842896,0.247001,11.75739,0.000606,0.046719,,,,,,,,,,,,,,,,,,,
Lneg_g12338,1443.5,0.831884,0.226237,13.32163,0.000262,0.031519,,,,,,,,,,,,,,,,,,,
Lneg_g11523,399.7943,0.824787,0.208776,16.08342,6.06E-05,0.017348,,,,,,,,,,,,,,,,,,,
Lneg_g00527,512.5943,0.813192,0.242651,11.18999,0.000822,0.0494,,,,,,,,,,,,,,,,,,,
Lneg_g03008,113.7316,0.811181,0.242841,11.35141,0.000754,0.048959,,,,,,,,,,,,,,,,,,,
Lneg_g05162,2043.829,0.794356,0.223097,12.82727,0.000342,0.034323,,,,,,,,,,,,,,,,,,,
Lneg_g16342,3217.465,0.773771,0.183924,17.94445,2.27E-05,0.009222,,,,,,,,,,,,,,,,,,,
Lneg_g14703,1044.826,0.769841,0.219346,12.47988,0.000411,0.038863,,,,,,,,,,,,,,,,,,,
Lneg_g07861,1155.015,0.764889,0.227112,11.55729,0.000675,0.047703,,,,,,,,,,,,,,,,,,,
Lneg_g10368,256.8745,0.750086,0.20526,13.46294,0.000243,0.030181,,,,,,,,,,,,,,,,,,,
Lneg_g01931,515.7104,0.740886,0.20348,13.55016,0.000232,0.030164,,,,,,,,,,,,,,,,,,,
Lneg_g13954,2076.191,0.733442,0.211398,12.00604,0.00053,0.043363,,,,,,,,,,,,,,,,,,,
Lneg_g10327,1040.247,0.716457,0.197562,13.42628,0.000248,0.030181,,,,,,,,,,,,,,,,,,,
Lneg_g14952,973.3029,0.690945,0.187478,13.28165,0.000268,0.031616,,,,,,,,,,,,,,,,,,,
Lneg_g06950,697.9271,0.689877,0.195502,12.69445,0.000367,0.035266,,,,,,,,,,,,,,,,,,,
Lneg_g06433,534.8969,0.687137,0.189456,13.07823,0.000299,0.033035,,,,,,,,,,,,,,,,,,,
Lneg_g09738,1361.196,0.679774,0.20195,11.62573,0.00065,0.047591,,,,,,,,,,,,,,,,,,,
Lneg_g10880,3231.689,0.669485,0.191669,12.32813,0.000446,0.040848,,,,,,,,,,,,,,,,,,,
Lneg_g05561,3954.111,0.662088,0.18412,12.67967,0.00037,0.035266,,,,,,,,,,,,,,,,,,,
Lneg_g07955,600.1498,0.661226,0.175081,14.23374,0.000161,0.028597,,,,,,,,,,,,,,,,,,,
Lneg_g12045,2052.71,0.659832,0.152789,18.86774,1.40E-05,0.006599,,,,,,,,,,,,,,,,,,,
Lneg_g05974,601.3039,0.629881,0.174124,13.26652,0.00027,0.031616,,,,,,,,,,,,,,,,,,,
Lneg_g02143,371.6486,0.628679,0.180497,12.14838,0.000491,0.042687,,,,,,,,,,,,,,,,,,,
Lneg_g02018,1547.338,0.617561,0.150682,16.91912,3.90E-05,0.013556,,,,,,,,,,,,,,,,,,,
Lneg_g04751,710.5644,0.610979,0.18386,11.3249,0.000765,0.048959,,,,,,,,,,,,,,,,,,,
Lneg_g15340,1964.077,0.535862,0.153416,12.33331,0.000445,0.040848,,,,,,,,,,,,,,,,,,,
Lneg_g11065,1182.337,0.533494,0.160424,11.29781,0.000776,0.049354,,,,,,,,,,,,,,,,,,,
Lneg_g11317,2122.616,0.531985,0.159158,11.27408,0.000786,0.0494,,,,,,,,,,,,,,,,,,,
Lneg_g06468,3773.456,0.519948,0.123493,17.71744,2.56E-05,0.009975,,,,,,,,,,,,,,,,,,,
Lneg_g15497,1077.158,0.452504,0.121061,14.00948,0.000182,0.0295,,,,,,,,,,,,,,,,,,,
