Lneg_protein,ProteinID_isoformremoved,percent_identity,BLASTPProteinMatch,BLASTP_annotation,E-value,Bit-score
acyl-CoA_desaturases_Lneg_g16755_i1,acyl-CoA_desaturases_Lneg_g16755,56.154,gb|KMQ84512.1|,acyl- delta desaturase [Lasius niger],5.38E-120,346
Adipokinetic_hormone_Lneg_g09634_i1,Adipokinetic_hormone_Lneg_g09634,88.608,ref|XP_012222515.1|,PREDICTED: hypertrehalosaemic prohormone-like [Linepithema humile],2.32E-47,147
Adipokinetic_hormone_receptor_Lneg_g08104_i1,Adipokinetic_hormone_receptor_Lneg_g08104,86.769,ref|XP_025995016.1|,gonadotropin-releasing hormone II receptor isoform X1 [Solenopsis invicta],0,577
adiponectin_Lneg_g06756_i1,adiponectin_Lneg_g06756,96.296,ref|XP_026825144.1|,adiponectin receptor protein-like [Ooceraea biroi],0,800
Ago2_Lneg_g02417_i1,Ago2_Lneg_g02417,42.92,ref|XP_018051854.1|,PREDICTED: protein argonaute-2-like [Atta colombica],0,631
Ago2_Lneg_g11348_i1,Ago2_Lneg_g11348,97.639,ref|XP_024870322.1|,protein argonaute-2-like isoform X1 [Temnothorax curvispinosus],0,948
Ago2_Lneg_g13250_i1,Ago2_Lneg_g13250,100,gb|KMR03877.1|,protein argonaute-2-like protein [Lasius niger],0,908
Ago2_Lneg_g13988_i1,Ago2_Lneg_g13988,55.494,ref|XP_018051854.1|,PREDICTED: protein argonaute-2-like [Atta colombica],0,985
Allatostatin-A_Lneg_g06082_i1,Allatostatin-A_Lneg_g06082,98.469,gb|KMQ92378.1|,allatostatin [Lasius niger],9.9E-140,390
Allatostatin-C_Lneg_g08356_i1,Allatostatin-C_Lneg_g08356,57.042,ref|XP_011165547.1|,uncharacterized protein LOC105199922 [Solenopsis invicta],8.31E-33,115
Allatostatin-C_Lneg_g14037_i1,Allatostatin-C_Lneg_g14037,60,ref|XP_018043971.1|,PREDICTED: allatostatin C-like [Atta colombica],1.49E-08,48.9
Allatostatin-C_Lneg_g15483_i1,Allatostatin-C_Lneg_g15483,89.655,ref|XP_006570429.1|,prohormone-1 isoform X4 [Apis mellifera],1.54E-33,112
Allatotropin_Lneg_g05755_i1,Allatotropin_Lneg_g05755,64.493,ref|XP_011348251.1|,allatotropin isoform X1 [Ooceraea biroi],6.5E-50,159
Alpha_beta_hydrolase_fold-1_Lneg_g00597_i3,Alpha_beta_hydrolase_fold-1_Lneg_g00597,76.324,ref|XP_018043697.1|,PREDICTED: protein ABHD11 [Atta colombica],0,508
Alpha_beta_hydrolase_fold-1_Lneg_g01205_i1,Alpha_beta_hydrolase_fold-1_Lneg_g01205,98.746,gb|KMQ92951.1|,abhydrolase domain-containing protein 12 [Lasius niger],0,655
Alpha_beta_hydrolase_fold-1_Lneg_g04266_i1,Alpha_beta_hydrolase_fold-1_Lneg_g04266,80.887,ref|XP_024883395.1|,"probable serine hydrolase, partial [Temnothorax curvispinosus]",0,506
Alpha_beta_hydrolase_fold-1_Lneg_g05091_i1,Alpha_beta_hydrolase_fold-1_Lneg_g05091,64.969,ref|XP_011333529.3|,uncharacterized protein LOC105277075 [Ooceraea biroi],0,1017
Alpha_beta_hydrolase_fold-1_Lneg_g06684_i1,Alpha_beta_hydrolase_fold-1_Lneg_g06684,88.63,ref|XP_024873377.1|,1-acylglycerol-3-phosphate O-acyltransferase ABHD5 [Temnothorax curvispinosus],0,681
Alpha_beta_hydrolase_fold-1_Lneg_g11249_i1,Alpha_beta_hydrolase_fold-1_Lneg_g11249,59,ref|XP_011344452.1|,serine hydrolase-like protein [Ooceraea biroi],6.62E-124,358
Alpha_beta_hydrolase_fold-1_Lneg_g11281_i1,Alpha_beta_hydrolase_fold-1_Lneg_g11281,81.879,ref|XP_012233803.1|,PREDICTED: phospholipase ABHD3 [Linepithema humile],0,521
Alpha_beta_hydrolase_fold-1_Lneg_g14137_i1,Alpha_beta_hydrolase_fold-1_Lneg_g14137,91.99,ref|XP_011335294.1|,protein phosphatase methylesterase 1 [Ooceraea biroi],0,711
Alpha_beta_hydrolase_fold-1_Lneg_g15827_i1,Alpha_beta_hydrolase_fold-1_Lneg_g15827,87.129,ref|XP_024882641.1|,epoxide hydrolase 4-like [Temnothorax curvispinosus],0,735
Alpha_beta_hydrolase_fold-1_Lneg_g16227_i1,Alpha_beta_hydrolase_fold-1_Lneg_g16227,79.298,ref|XP_012217385.1|,PREDICTED: valacyclovir hydrolase [Linepithema humile],5.16E-179,498
AMPK_Lneg_g10231_i1,AMPK_Lneg_g10231,93.148,ref|XP_011167380.1|,5'-AMP-activated protein kinase catalytic subunit alpha-2 [Solenopsis invicta],0,1041
Ankyrin_Lneg_g00570_i1,Ankyrin_Lneg_g00570,100,gb|KMQ94240.1|,ankyrin repeat domain-containing protein 29-like protein [Lasius niger],3.83E-166,464
Ankyrin_Lneg_g00841_i1,Ankyrin_Lneg_g00841,94.203,ref|XP_011053704.1|,PREDICTED: protein phosphatase 1 regulatory subunit 12A isoform X1 [Acromyrmex echinatior],4.45E-60,228
Ankyrin_Lneg_g01336_i1,Ankyrin_Lneg_g01336,85.574,ref|XP_024882145.1|,uncharacterized protein LOC112461216 [Temnothorax curvispinosus],0,1087
Ankyrin_Lneg_g01587_i1,Ankyrin_Lneg_g01587,90.238,ref|XP_024879881.1|,uncharacterized protein LOC112459793 [Temnothorax curvispinosus],0,1493
Ankyrin_Lneg_g01588_i1,Ankyrin_Lneg_g01588,63.148,ref|XP_024879881.1|,uncharacterized protein LOC112459793 [Temnothorax curvispinosus],0,1247
Ankyrin_Lneg_g01993_i1,Ankyrin_Lneg_g01993,94.35,gb|KMQ94692.1|,eye-specific diacylglycerol kinase [Lasius niger],0,2505
Ankyrin_Lneg_g02189_i1,Ankyrin_Lneg_g02189,91.25,ref|XP_011060231.1|,PREDICTED: LOW QUALITY PROTEIN: protein fem-1 homolog A [Acromyrmex echinatior],1.22E-101,308
Ankyrin_Lneg_g02242_i1,Ankyrin_Lneg_g02242,82.734,ref|XP_018044995.1|,PREDICTED: ankyrin repeat family A protein 2-like [Atta colombica],1.42E-172,479
Ankyrin_Lneg_g02489_i1,Ankyrin_Lneg_g02489,56.459,ref|XP_024888272.1|,ankyrin-2-like [Temnothorax curvispinosus],0,578
Ankyrin_Lneg_g02641_i1,Ankyrin_Lneg_g02641,77.239,ref|XP_025987159.1|,inversin [Solenopsis invicta],0,811
Ankyrin_Lneg_g02740_i1,Ankyrin_Lneg_g02740,88.647,ref|XP_024867395.1|,ankyrin repeat and BTB/POZ domain-containing protein BTBD11 isoform X1 [Temnothorax curvispinosus],0,2520
Ankyrin_Lneg_g02800_i2,Ankyrin_Lneg_g02800,97.429,gb|KMQ97513.1|,kinase d-interacting substrate [Lasius niger],0,3755
Ankyrin_Lneg_g02808_i1,Ankyrin_Lneg_g02808,86.265,ref|XP_024878904.1|,protein HOS4-like isoform X2 [Temnothorax curvispinosus],0,1061
Ankyrin_Lneg_g02827_i1,Ankyrin_Lneg_g02827,91.841,ref|XP_011055655.1|,PREDICTED: protein phosphatase 1 regulatory subunit 16A isoform X1 [Acromyrmex echinatior],0,1000
Ankyrin_Lneg_g03072_i1,Ankyrin_Lneg_g03072,93.611,ref|XP_024882550.1|,rabankyrin-5 [Temnothorax curvispinosus],0,2179
Ankyrin_Lneg_g03133_i1,Ankyrin_Lneg_g03133,24.737,ref|XP_026301628.1|,E3 ubiquitin-protein ligase MIB1 [Apis mellifera],7.36E-12,72.8
Ankyrin_Lneg_g03233_i1,Ankyrin_Lneg_g03233,81.546,ref|XP_024886375.1|,transient receptor potential channel pyrexia-like [Temnothorax curvispinosus],0,1333
Ankyrin_Lneg_g03639_i1,Ankyrin_Lneg_g03639,95.727,gb|KMQ98197.1|,ankyrin repeat domain-containing protein 50 [Lasius niger],0,3060
Ankyrin_Lneg_g03676_i1,Ankyrin_Lneg_g03676,90.618,ref|XP_011341652.1|,uncharacterized protein LOC105281834 [Ooceraea biroi],0,1785
Ankyrin_Lneg_g03776_i1,Ankyrin_Lneg_g03776,80.883,ref|XP_018055140.1|,PREDICTED: uncharacterized protein LOC108691758 [Atta colombica],0,2502
Ankyrin_Lneg_g03904_i1,Ankyrin_Lneg_g03904,34.043,ref|XP_026296206.1|,ankyrin-3-like isoform X3 [Apis mellifera],5.28E-68,233
Ankyrin_Lneg_g03945_i1,Ankyrin_Lneg_g03945,92.233,gb|KMQ95173.1|,ankyrin repeat domain-containing protein 39-like protein [Lasius niger],1.92E-139,394
Ankyrin_Lneg_g03964_i2,Ankyrin_Lneg_g03964,95.671,ref|XP_011172250.1|,E3 ubiquitin-protein ligase HECTD1 isoform X6 [Solenopsis invicta],0,4864
Ankyrin_Lneg_g04030_i1,Ankyrin_Lneg_g04030,70.399,ref|XP_011061065.1|,PREDICTED: tonsoku-like protein [Acromyrmex echinatior],0,1767
Ankyrin_Lneg_g04198_i1,Ankyrin_Lneg_g04198,92.839,gb|KMQ97754.1|,ankyrin repeat and zinc finger domain-containing protein 1-like protein [Lasius niger],0,1519
Ankyrin_Lneg_g04204_i1,Ankyrin_Lneg_g04204,95.264,ref|XP_011173457.1|,probable protein S-acyltransferase 23 [Solenopsis invicta],0,1104
Ankyrin_Lneg_g04283_i1,Ankyrin_Lneg_g04283,97.7,ref|XP_024879787.1|,"arfGAP with SH3 domain, ANK repeat and PH domain-containing protein isoform X1 [Temnothorax curvispinosus]",0,1857
Ankyrin_Lneg_g04354_i1,Ankyrin_Lneg_g04354,96.743,ref|XP_011346767.1|,palmitoyltransferase Hip14 isoform X1 [Ooceraea biroi],0,1253
Ankyrin_Lneg_g04580_i1,Ankyrin_Lneg_g04580,35.644,ref|NP_001097533.1|,"ankyrin 2, isoform N [Drosophila melanogaster]",6.16E-08,59.3
Ankyrin_Lneg_g04655_i1,Ankyrin_Lneg_g04655,99.261,gb|KMQ97244.1|,ankyrin repeat and mynd domain-containing protein 2 [Lasius niger],0,843
Ankyrin_Lneg_g04782_i2,Ankyrin_Lneg_g04782,37.624,ref|XP_024871839.1|,ankyrin-3 isoform X4 [Temnothorax curvispinosus],2.96E-27,112
Ankyrin_Lneg_g04934_i1,Ankyrin_Lneg_g04934,99.509,gb|KMQ90448.1|,arf gtpase-activating protein git1 [Lasius niger],0,1263
Ankyrin_Lneg_g05030_i1,Ankyrin_Lneg_g05030,97.051,ref|XP_011331016.1|,death-associated protein kinase 1 isoform X2 [Ooceraea biroi],0,2237
Ankyrin_Lneg_g05228_i1,Ankyrin_Lneg_g05228,84.165,ref|XP_024872708.1|,uncharacterized protein LOC112455174 isoform X1 [Temnothorax curvispinosus],0,1989
Ankyrin_Lneg_g05557_i1,Ankyrin_Lneg_g05557,89.855,ref|XP_039304933.1|,microtubule-associated protein futsch isoform X9 [Solenopsis invicta],6.12E-23,113
Ankyrin_Lneg_g05770_i1,Ankyrin_Lneg_g05770,99.347,gb|KMQ96727.1|,sh3 and multiple ankyrin repeat domains protein 3 [Lasius niger],0,2181
Ankyrin_Lneg_g06028_i1,Ankyrin_Lneg_g06028,83.925,ref|XP_018058040.1|,PREDICTED: KN motif and ankyrin repeat domain-containing protein 2-like isoform X1 [Atta colombica],0,1751
Ankyrin_Lneg_g06085_i1,Ankyrin_Lneg_g06085,79.387,ref|XP_011067701.1|,PREDICTED: transient-receptor-potential-like protein [Acromyrmex echinatior],0,1858
Ankyrin_Lneg_g06451_i1,Ankyrin_Lneg_g06451,52.566,ref|NP_612015.1|,"pyrexia, isoform A [Drosophila melanogaster]",0,729
Ankyrin_Lneg_g06459_i1,Ankyrin_Lneg_g06459,88.398,ref|XP_024879461.1|,ankyrin repeat and death domain-containing protein 1A-like isoform X5 [Temnothorax curvispinosus],1.41E-106,319
Ankyrin_Lneg_g06512_i1,Ankyrin_Lneg_g06512,81.297,gb|KMQ98201.1|,e3 ubiquitin-protein ligase mib1 [Lasius niger],0,642
Ankyrin_Lneg_g06608_i1,Ankyrin_Lneg_g06608,98.844,gb|KMQ86442.1|,thump domain-containing protein 3 [Lasius niger],1.05E-117,358
Ankyrin_Lneg_g06636_i1,Ankyrin_Lneg_g06636,85.452,ref|XP_018051744.1|,PREDICTED: short transient receptor potential channel 4-like [Atta colombica],0,1392
Ankyrin_Lneg_g06672_i1,Ankyrin_Lneg_g06672,82.226,ref|XP_024887733.1|,mucin-5AC-like [Temnothorax curvispinosus],0,3896
Ankyrin_Lneg_g06717_i1,Ankyrin_Lneg_g06717,74.588,ref|XP_024873148.1|,ankycorbin isoform X5 [Temnothorax curvispinosus],0,2171
Ankyrin_Lneg_g06767_i1,Ankyrin_Lneg_g06767,31.222,ref|XP_024870103.1|,"ankyrin-2-like, partial [Temnothorax curvispinosus]",2.34E-37,148
Ankyrin_Lneg_g06829_i1,Ankyrin_Lneg_g06829,91.284,ref|XP_026826631.1|,"glutaminase liver isoform, mitochondrial isoform X1 [Ooceraea biroi]",0,1204
Ankyrin_Lneg_g07081_i1,Ankyrin_Lneg_g07081,93.173,ref|XP_012220157.1|,PREDICTED: ankyrin repeat domain-containing protein SOWAHB isoform X1 [Linepithema humile],1.87E-163,473
Ankyrin_Lneg_g07712_i1,Ankyrin_Lneg_g07712,89.317,ref|XP_024871071.1|,transient receptor potential cation channel subfamily V member 5 [Temnothorax curvispinosus],0,1697
Ankyrin_Lneg_g07942_i1,Ankyrin_Lneg_g07942,73.44,ref|XP_025990162.1|,uncharacterized protein LOC105200526 [Solenopsis invicta],0,1128
Ankyrin_Lneg_g07945_i1,Ankyrin_Lneg_g07945,96.634,gb|KMQ96512.1|,brca1-associated ring domain protein 1-like protein [Lasius niger],0,1014
Ankyrin_Lneg_g08568_i2,Ankyrin_Lneg_g08568,99.616,gb|KMR04969.1|,apoptosis-stimulating of p53 protein [Lasius niger],0,2684
Ankyrin_Lneg_g08610_i1,Ankyrin_Lneg_g08610,31.564,ref|XP_026296234.1|,ankyrin-3 isoform X6 [Apis mellifera],1.41E-89,316
Ankyrin_Lneg_g08612_i3,Ankyrin_Lneg_g08612,33.418,ref|XP_019886581.1|,ankyrin-3 isoform X18 [Ooceraea biroi],3.51E-46,184
Ankyrin_Lneg_g08755_i1,Ankyrin_Lneg_g08755,94.066,gb|KMQ97722.1|,ankyrin repeat and lem domain-containing protein 2 [Lasius niger],0,1117
Ankyrin_Lneg_g08759_i1,Ankyrin_Lneg_g08759,97.324,gb|KMQ97718.1|,transient receptor potential cation channel protein painless-like protein [Lasius niger],0,1808
Ankyrin_Lneg_g08850_i1,Ankyrin_Lneg_g08850,94.444,ref|XP_011173071.2|,E3 ubiquitin-protein ligase MIB1 [Solenopsis invicta],2.18E-28,109
Ankyrin_Lneg_g08982_i1,Ankyrin_Lneg_g08982,31.915,gb|KMQ99192.1|,e3 ubiquitin-protein ligase mib2 [Lasius niger],0.00000095,56.2
Ankyrin_Lneg_g08983_i1,Ankyrin_Lneg_g08983,47.959,ref|XP_011331719.2|,uncharacterized protein LOC105276079 [Ooceraea biroi],0,660
Ankyrin_Lneg_g09060_i1,Ankyrin_Lneg_g09060,87.634,ref|XP_011058121.1|,PREDICTED: protein TANC2 [Acromyrmex echinatior],0,2732
Ankyrin_Lneg_g09324_i1,Ankyrin_Lneg_g09324,95.553,gb|KMQ96943.1|,arf-gap with coiled- ank repeat and ph domain-containing protein 2-like protein [Lasius niger],0,1786
Ankyrin_Lneg_g09580_i1,Ankyrin_Lneg_g09580,90.175,ref|XP_018057723.1|,PREDICTED: protein fem-1 homolog A isoform X2 [Atta colombica],0,873
Ankyrin_Lneg_g09812_i1,Ankyrin_Lneg_g09812,94.07,gb|KMQ96309.1|,ankyrin sam and basic leucine zipper domain-containing protein 1-like protein [Lasius niger],0,701
Ankyrin_Lneg_g09834_i2,Ankyrin_Lneg_g09834,95.479,ref|XP_026296204.1|,ankyrin-3-like isoform X1 [Apis mellifera],0,1092
Ankyrin_Lneg_g09932_i2,Ankyrin_Lneg_g09932,43.263,ref|NP_611508.1|,"Fem-1, isoform A [Drosophila melanogaster]",6.72E-178,526
Ankyrin_Lneg_g10135_i1,Ankyrin_Lneg_g10135,99.153,ref|XP_623750.2|,myotrophin [Apis mellifera],2.32E-83,241
Ankyrin_Lneg_g10162_i1,Ankyrin_Lneg_g10162,94.617,ref|XP_024891928.1|,ankyrin-1-like isoform X1 [Temnothorax curvispinosus],0,908
Ankyrin_Lneg_g10296_i1,Ankyrin_Lneg_g10296,95.465,ref|XP_024885014.1|,ankyrin repeat domain-containing protein 13C isoform X2 [Temnothorax curvispinosus],0,855
Ankyrin_Lneg_g10332_i1,Ankyrin_Lneg_g10332,95.652,ref|XP_012226682.1|,PREDICTED: Usher syndrome type-1G protein homolog isoform X3 [Linepithema humile],1.15E-60,196
Ankyrin_Lneg_g10422_i1,Ankyrin_Lneg_g10422,78.135,ref|XP_024877145.1|,ankyrin repeat domain-containing protein 16-like isoform X1 [Temnothorax curvispinosus],0,509
Ankyrin_Lneg_g10501_i1,Ankyrin_Lneg_g10501,97.607,ref|XP_011341331.1|,tankyrase isoform X3 [Ooceraea biroi],0,2442
Ankyrin_Lneg_g10578_i1,Ankyrin_Lneg_g10578,87.413,ref|XP_018044199.1|,PREDICTED: serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A-like isoform X2 [Atta colombica],0,1774
Ankyrin_Lneg_g10600_i1,Ankyrin_Lneg_g10600,93.989,gb|KMQ97987.1|,osteoclast-stimulating factor 1 [Lasius niger],1.84E-126,363
Ankyrin_Lneg_g10664_i1,Ankyrin_Lneg_g10664,32.804,ref|NP_611028.1|,uncharacterized protein Dmel_CG8152 [Drosophila melanogaster],4.79E-40,147
Ankyrin_Lneg_g10845_i1,Ankyrin_Lneg_g10845,34.274,ref|NP_001097533.1|,"ankyrin 2, isoform N [Drosophila melanogaster]",1.59E-24,114
Ankyrin_Lneg_g10876_i1,Ankyrin_Lneg_g10876,94.309,ref|XP_024882917.1|,transient receptor potential protein-like [Temnothorax curvispinosus],1.03E-161,458
Ankyrin_Lneg_g11068_i2,Ankyrin_Lneg_g11068,98.901,gb|KMQ86900.1|,ankyrin repeat domain-containing protein 54-like protein [Lasius niger],0,751
Ankyrin_Lneg_g11547_i1,Ankyrin_Lneg_g11547,98.131,gb|KMQ92709.1|,ankyrin repeat domain-containing protein 49-like protein [Lasius niger],6.66E-155,430
