Gene Name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,
Lneg_g11053,169.7944,-2.65668,0.702258,11.89829,0.000562,0.045128,
Lneg_g03482,279.0248,-2.64801,0.622655,15.32953,9.03E-05,0.02092,
Lneg_g11833,99.66194,-2.64497,0.651244,14.39807,0.000148,0.02823,
Lneg_g03615,100.7031,-2.57293,0.700892,11.15524,0.000838,0.04972,
Lneg_g02466,58.90025,-2.56407,0.713238,11.47822,0.000704,0.048597,
Lneg_g04678,752.1475,-2.51169,0.644645,13.24769,0.000273,0.031616,
Lneg_g11593,54.64557,-2.40774,0.633321,12.0959,0.000505,0.042869,
Lneg_g06904,152.0067,-2.40087,0.659808,11.66533,0.000637,0.047591,
Lneg_g11451,37.43448,-2.39106,0.636389,12.97389,0.000316,0.033059,
Lneg_g08774,75.06991,-2.3894,0.586039,14.67786,0.000128,0.025855,
LnegGR94,24.90853,-2.3868,0.675058,11.16491,0.000834,0.04972,
Lneg_g10726,299.3463,-2.36157,0.589671,13.86719,0.000196,0.029883,
Lneg_g02047,1573.522,-2.34757,0.628272,12.22087,0.000473,0.041806,
Lneg_g05037,155.2864,-2.31805,0.655009,11.2317,0.000804,0.0494,
Lneg_g14923,196.2149,-2.2918,0.532581,16.54607,4.75E-05,0.014922,
Lneg_g00192,3215.422,-2.28491,0.568472,14.35454,0.000151,0.028335,
Lneg_g04474,118.7714,-2.28262,0.570625,14.44539,0.000144,0.02823,
Lneg_g16803,37.62711,-2.27022,0.646929,11.5375,0.000682,0.047749,
Lneg_g15257,587.743,-2.22708,0.616903,11.60312,0.000658,0.047703,
Lneg_g01339,405.3217,-2.21683,0.566009,12.68368,0.000369,0.035266,
Lneg_g16910,33.66549,-2.21342,0.60686,12.02768,0.000524,0.043363,
Lneg_g08981,2091.693,-2.21213,0.602042,11.98049,0.000538,0.043595,
Lneg_g14922,350.118,-2.20732,0.603592,12.02532,0.000525,0.043363,
Lneg_g05947,569.4621,-2.19334,0.616349,11.3647,0.000749,0.048959,
Lneg_g06444,194.473,-2.17129,0.518394,15.916,6.62E-05,0.01841,
Lneg_g14760,67.66672,-2.16385,0.494294,17.50745,2.86E-05,0.010711,
Lneg_g11584,942.488,-2.13679,0.549164,13.58039,0.000229,0.030164,
Lneg_g00243,293.8378,-2.13656,0.482298,17.341,3.12E-05,0.011258,
Lneg_g01652,1071.188,-2.12716,0.560099,13.00429,0.000311,0.033059,
Lneg_g02778,132.4256,-2.1234,0.561097,13.01916,0.000308,0.033059,
Lneg_g02622,999.7536,-2.10975,0.584264,11.74601,0.00061,0.046719,
Lneg_g07677,1457.213,-2.10831,0.537528,13.77309,0.000206,0.029883,
Lneg_g11316,350.1384,-2.10509,0.593483,11.38581,0.00074,0.048959,
Lneg_g05034,1139.582,-2.09161,0.574205,11.58921,0.000663,0.047703,
Lneg_g04131,2066.459,-2.07829,0.587213,11.33736,0.00076,0.048959,
Lneg_g08514,625.6962,-2.07233,0.438129,19.26487,1.14E-05,0.005827,
Lneg_g02642,2188.297,-2.04281,0.58032,11.24795,0.000797,0.0494,
Lneg_g01625,68.73563,-2.04267,0.562773,12.29777,0.000454,0.040861,
Lneg_g09841,118.0432,-2.00401,0.519836,13.50636,0.000238,0.030164,
Lneg_g04467,137.542,-2.00209,0.520044,13.66891,0.000218,0.029883,
Lneg_g05901,146.0907,-1.99299,0.511365,13.49908,0.000239,0.030164,
Lneg_g13232,2965.43,-1.97079,0.494062,14.10673,0.000173,0.028897,
Lneg_g02376,371.5062,-1.94245,0.486342,13.53438,0.000234,0.030164,
Lneg_g09664,742.8227,-1.91922,0.54207,11.49313,0.000699,0.048554,
Lneg_g15117,641.8053,-1.8795,0.496466,13.18964,0.000282,0.032192,
Lneg_g04390,861.5988,-1.87166,0.53224,11.40261,0.000733,0.048959,
Lneg_g13870,698.4878,-1.83586,0.475401,12.97341,0.000316,0.033059,
Lneg_g02842,1076.927,-1.67867,0.454772,12.11094,0.000501,0.042869,
Lneg_g05585,143.4923,-1.63661,0.423891,13.70378,0.000214,0.029883,
Lneg_g15376,1565.523,-1.63512,0.460142,11.86094,0.000573,0.045128,
Lneg_g04978,2279.392,-1.61778,0.466365,11.19256,0.000821,0.0494,
Lneg_g12898,997.628,-1.55116,0.429731,11.45169,0.000714,0.048949,
Lneg_g04318,592.5122,-1.43277,0.368706,13.9098,0.000192,0.029883,
Lneg_g00762,241.3758,-1.38212,0.355734,14.08939,0.000174,0.028897,
Lneg_g15071,653.5294,-1.36329,0.35758,13.78269,0.000205,0.029883,
Lneg_g12265,614.3355,-1.32761,0.366242,12.17441,0.000484,0.042474,
Lneg_g08672,106.2637,-1.32377,0.352607,13.68443,0.000216,0.029883,
Lneg_g03981,378.346,-1.29549,0.338715,13.70581,0.000214,0.029883,
Lneg_g03079,131.5855,-1.23722,0.365146,11.22614,0.000807,0.0494,
Lneg_g16700,1013.178,-1.20847,0.342366,12.01784,0.000527,0.043363,
Lneg_g16926,139.106,-1.01992,0.277232,12.89513,0.000329,0.033745,
Lneg_g03377,555.2889,-0.72903,0.204945,12.22487,0.000472,0.041806,
